						
	Accessible in game	True Pacifist	Not accessible	TODO		
* See ya^1, punk!/			Undyne (call)	New Home	room_undertale_end	
* G-good..^1.&* Good.../			Alphys (call)	New Home	room_undertale_end	
\E4* Hey^1, why do I&  have to be the one&  to hang up?/			Alphys (call)	New Home	room_undertale_end	
\E7* Eheheh..^1.&* I hate goodbyes.../			Alphys (call)	New Home	room_undertale_end	
\E3* Um^1, we'll see you&  again someday!/%%			Alphys (call)	New Home	room_undertale_end	
mf						
SPECIALK						
\E0* the queen returned^1, and&  attempted to resume&  ruling the underground./			Sans (call)	New Home	room_undertale_end	
* she enstated a new&  policy.../			Sans (call)	New Home	room_undertale_end	
\E3* all the humans who fall&  here would be treated&  not as enemies.../			Sans (call)	New Home	room_undertale_end	
\E3* .../			Sans (call)	New Home	room_undertale_end	
\E1* but people REALLY&  didn't like that&  policy./			Sans (call)	New Home	room_undertale_end	
\E0* because of you^1, not&  only was the king&  gone.../			Sans (call)	New Home	room_undertale_end	
\E3* but the human souls&  had gone missing as&  well.../			Sans (call)	New Home	room_undertale_end	
* along with the lives&  of countless citizens./			Sans (call)	New Home	room_undertale_end	
* along with the life&  of.../			Sans (call)	New Home	room_undertale_end	
* along with the life&  of undyne^1, their&  greatest hero./			Sans (call)	New Home	room_undertale_end	
* nobody wanted to see&  that happen ever again./			Sans (call)	New Home	room_undertale_end	
\E0* so the people started&  a rebellion to&  overthrow the queen./			Sans (call)	New Home	room_undertale_end	
\E2* but^1, she^1, uh^1, pretty&  much gave up peacefully&  when she realized./			Sans (call)	New Home	room_undertale_end	
\E1* so she went back&  to the ruins./			Sans (call)	New Home	room_undertale_end	
\E0* the underground's&  basically an uneasy&  anarchy now./			Sans (call)	New Home	room_undertale_end	
\E0* everyone's trying to&  live life like they&  always have.../			Sans (call)	New Home	room_undertale_end	
\E3* but it's not really&  easy^1, you know?/			Sans (call)	New Home	room_undertale_end	
* when all of your&  hope has pretty much&  been thrown away.../%%			Sans (call)	New Home	room_undertale_end	
\E1* undyne spearheaded&  the revolution^1, of&  course./			Sans (call)	New Home	room_undertale_end	
\E3* she was pretty mad&  after what happened&  to asgore./			Sans (call)	New Home	room_undertale_end	
\E3* she was pretty mad&  after what happened&  to asgore and alphys./			Sans (call)	New Home	room_undertale_end	
\E1* she threw the queen&  out of the castle&  with her strength./			Sans (call)	New Home	room_undertale_end	
\E0* then she became the&  empress of the&  underground.../			Sans (call)	New Home	room_undertale_end	
* and banished the&  queen back to the&  ruins./			Sans (call)	New Home	room_undertale_end	
\E1* seems like undyne's..^1.&* hmmm.../			Sans (call)	New Home	room_undertale_end	
\E3* even more vehement&  about destroying&  humanity than ASGORE./			Sans (call)	New Home	room_undertale_end	
\E1* .../%%			Sans (call)	New Home	room_undertale_end	
\E2* but hey^1!&* it's not all bad!/			Sans (call)	New Home	room_undertale_end	
\E0* she's not so lonely&  anymore./			Sans (call)	New Home	room_undertale_end	
\E1* me and papyrus go&  and visit her.../			Sans (call)	New Home	room_undertale_end	
\E0* we bring her books&  from the library^1,&  or play games.../			Sans (call)	New Home	room_undertale_end	
\E2* we've even convinced&  her to leave&  sometimes./			Sans (call)	New Home	room_undertale_end	
\E1* as long as me or&  papyrus stay behind&  to watch for humans./			Sans (call)	New Home	room_undertale_end	
\E2* but papyrus loves&  doing that./			Sans (call)	New Home	room_undertale_end	
YEAH!!^1!&I LOVE STANDING IN&FOR THE QUEEN!!!/			Papyrus (call)	New Home	room_undertale_end	
I'VE BEEN PRACTICING&FOR WHEN A HUMAN&COMES./			Papyrus (call)	New Home	room_undertale_end	
I'M GOING TO BE&A GREAT MOM!!!/			Papyrus (call)	New Home	room_undertale_end	
\E3BY THE WAY^1,&WHO ARE YOU&TALKING TO?/			Papyrus (call)	New Home	room_undertale_end	
OH, COOL^1.&TELL THEM I SAY&HI!!!/			Papyrus (call)	New Home	room_undertale_end	
* papyrus says hi./			Sans (call)	New Home	room_undertale_end	
\E0* well^1, i hope things&  are better where&  you are./			Sans (call)	New Home	room_undertale_end	
\E2* later./%%			Sans (call)	New Home	room_undertale_end	
\E1* when the queen went&  back to the ruins.../			Sans (call)	New Home	room_undertale_end	
\E2* i decided to go&  with her./			Sans (call)	New Home	room_undertale_end	
\E1* and i took out some&  books from the&  library^1, too./			Sans (call)	New Home	room_undertale_end	
\E1* so she won't have&  to read the same&  ones./			Sans (call)	New Home	room_undertale_end	
\E0* she's a good roomie^1.&* we have a lot of&  fun./			Sans (call)	New Home	room_undertale_end	
\E1* you know./			Sans (call)	New Home	room_undertale_end	
\E1* sometimes the queen&  talks about.../			Sans (call)	New Home	room_undertale_end	
\E0* how she'd like to&  see you again./			Sans (call)	New Home	room_undertale_end	
\E1* isn't that nice?/			Sans (call)	New Home	room_undertale_end	
\E3* i don't have the&  heart to tell her&  what you did./			Sans (call)	New Home	room_undertale_end	
\E0* do you know how she'd&  react?/			Sans (call)	New Home	room_undertale_end	
\E3* if i told her that&  'cause she protected&  you.../			Sans (call)	New Home	room_undertale_end	
\E4* ... you went on to&  kill my brother...?/			Sans (call)	New Home	room_undertale_end	
\E1* anyway^1, never come&  back here./			Sans (call)	New Home	room_undertale_end	
\E0* you are not welcome./			Sans (call)	New Home	room_undertale_end	
* since you left^1,&  things down here.../			Sans (call)	New Home	room_undertale_end	
\E3* are different./			Sans (call)	New Home	room_undertale_end	
* with ASGORE gone.../			Sans (call)	New Home	room_undertale_end	
\E0* undyne became the&  ruler of the&  underground./			Sans (call)	New Home	room_undertale_end	
\E3* she's decided to&  destroy every human&  that comes here./			Sans (call)	New Home	room_undertale_end	
\E3* and since the human&  souls disappeared.../			Sans (call)	New Home	room_undertale_end	
\E0* she's also looking&  for a new way to&  break the barrier.../			Sans (call)	New Home	room_undertale_end	
* and when she does^1,&  she's going to wage&  war on humanity./			Sans (call)	New Home	room_undertale_end	
\E1* i mean^1, that was&  asgore's plan^1, too./			Sans (call)	New Home	room_undertale_end	
\E2* but he was really^1,&  uh^1, bad at it./			Sans (call)	New Home	room_undertale_end	
\E0* undyne has also&  expanded the royal&  guard massively./			Sans (call)	New Home	room_undertale_end	
* she says the first&  thing she'll do after&  we get out of here.../			Sans (call)	New Home	room_undertale_end	
* is take her army.../			Sans (call)	New Home	room_undertale_end	
\E3* and personally hunt&  you down and destroy&  you./			Sans (call)	New Home	room_undertale_end	
\E1* meanwhile.../			Sans (call)	New Home	room_undertale_end	
* i've been knocking&  on the door to&  the RUINs.../			Sans (call)	New Home	room_undertale_end	
\E3* but the woman that's&  there hasn't been&  answering me./			Sans (call)	New Home	room_undertale_end	
\E1* maybe she's not&  feeling well?/			Sans (call)	New Home	room_undertale_end	
\E3* heh./			Sans (call)	New Home	room_undertale_end	
\E4* or maybe she's not&  feeling anything at&  all...?/			Sans (call)	New Home	room_undertale_end	
\E4* you'd better watch&  yourself^1, kid./			Sans (call)	New Home	room_undertale_end	
\E4* things are lookin&  real bad for you./%%			Sans (call)	New Home	room_undertale_end	
\E3* i've been knocking on&  the door to the&  RUINS.../			Sans (call)	New Home	room_undertale_end	
\E3* but that woman hasn't&  been answering me.../			Sans (call)	New Home	room_undertale_end	
HEY^1, SANS^1, WHO ARE&YOU TALKING TO?/			Papyrus (call)	New Home	room_undertale_end	
* oh^1, just the human./			Sans (call)	New Home	room_undertale_end	
OH^1, COOL./			Papyrus (call)	New Home	room_undertale_end	
\E5WAIT, DID YOU&SAY THE HUMAN!?/			Papyrus (call)	New Home	room_undertale_end	
\E0CAN I TALK TO&THEM???/			Papyrus (call)	New Home	room_undertale_end	
* sure^1, knock yourself&  out./			Sans (call)	New Home	room_undertale_end	
HEY!!^1!&UNDYNE'S THE&EMPRESS NOW!!/			Papyrus (call)	New Home	room_undertale_end	
IT'S AMAZING!!!/			Papyrus (call)	New Home	room_undertale_end	
AND SHE APPOINTED&ME TO BE.../			Papyrus (call)	New Home	room_undertale_end	
THE MOST IMPORTANT&ROYAL POSITION!!!/			Papyrus (call)	New Home	room_undertale_end	
\E3THAT'S IT^1.&THAT'S LITERALLY&THE TITLE./			Papyrus (call)	New Home	room_undertale_end	
\E0WHAT DO I DO?/			Papyrus (call)	New Home	room_undertale_end	
\E3SHE TOLD ME TO^1,&UM.../			Papyrus (call)	New Home	room_undertale_end	
\E3STAND AROUND AND&LOOK CUTE./			Papyrus (call)	New Home	room_undertale_end	
\E0WELL!!^1!&THAT'S THE PERFECT&JOB FOR ME!!!/			Papyrus (call)	New Home	room_undertale_end	
I DO THAT ALL THE&TIME^1, WITHOUT&TRYING!!/			Papyrus (call)	New Home	room_undertale_end	
FINALLY!^1!&I'M IMPORTANT./			Papyrus (call)	New Home	room_undertale_end	
AND IT'S ALL&THANKS TO YOU,/			Papyrus (call)	New Home	room_undertale_end	
AND THE HORRIBLE&THINGS YOU DID./			Papyrus (call)	New Home	room_undertale_end	
THANK YOU^1, HUMAN!/			Papyrus (call)	New Home	room_undertale_end	
COME BACK AND&VISIT SOMETIME!!/			Papyrus (call)	New Home	room_undertale_end	
\E3WAIT..^1.&UNDYNE WOULD&PROBABLY KILL YOU./			Papyrus (call)	New Home	room_undertale_end	
\E0BUT..^1.&YOU'D GET TO&SEE ME./			Papyrus (call)	New Home	room_undertale_end	
SO YOU GOTTA&RISK IT!!!/			Papyrus (call)	New Home	room_undertale_end	
YOU GOTTA!!!/			Papyrus (call)	New Home	room_undertale_end	
SEE YOU SOON./%%			Papyrus (call)	New Home	room_undertale_end	
* so^1, it's been a&  while./			Sans (call)	New Home	room_undertale_end	
\E1* since you left^1, things&  have..^1.&* gotten interesting./			Sans (call)	New Home	room_undertale_end	
\E0* with ASGORE gone^1, the&  people looked to&  undyne to rule.../			Sans (call)	New Home	room_undertale_end	
\E3* but she was nowhere&  to be found./			Sans (call)	New Home	room_undertale_end	
\E2* so mettaton just&  kind of..^1.&* took over?/			Sans (call)	New Home	room_undertale_end	
\E1* he's brainwashed&  everyone with his&  stupid TV show./			Sans (call)	New Home	room_undertale_end	
* and made the&  underground into his&  personal paradise./			Sans (call)	New Home	room_undertale_end	
\E3* it's honestly..^1.&* kinda disturbing./			Sans (call)	New Home	room_undertale_end	
\E1* as for me^1?&* oh^1, yeah.../			Sans (call)	New Home	room_undertale_end	
\E2* i'm his agent./%%			Sans (call)	New Home	room_undertale_end	
\E0* HEY THERE^1, DARLING!/			Mettaton (call)	New Home	room_undertale_end	
* THANK YOU SO MUCH FOR&  YOUR HARD WORK.../			Mettaton (call)	New Home	room_undertale_end	
* THANKS TO YOU, THE&  UNDERGROUND IS MORE&  EXCITING THAN EVER!/			Mettaton (call)	New Home	room_undertale_end	
\E7* OOH LA LA...&* STATUES... MONUMENTS&  TO MY BEAUTY.../			Mettaton (call)	New Home	room_undertale_end	
\E6* FLOWERS IN THE&  ARRANGEMENT OF MY&  NAME.../			Mettaton (call)	New Home	room_undertale_end	
\E5* HEDGES IN THE SHAPE&  OF MY SMILE.../			Mettaton (call)	New Home	room_undertale_end	
\E8* UNDER MY RULE, THE&  UNDERGROUND'S PROBLEMS&  ARE OVER, BABY!/			Mettaton (call)	New Home	room_undertale_end	
\E7* CROWDING?&* DREARINESS???/			Mettaton (call)	New Home	room_undertale_end	
\E9* WHO NEEDS THE SUN&  WHEN YOU'VE GOT&  THE SPOTLIGHT!!?/			Mettaton (call)	New Home	room_undertale_end	
\E1* ECONOMIC COLLAPSE?&* EDUCATION PROBLEMS?&* WHAT!?/			Mettaton (call)	New Home	room_undertale_end	
\E8* EVERYTHING'S COVERED&  IN GOLDEN GLITTER!/			Mettaton (call)	New Home	room_undertale_end	
\E6* THERE ARE NO&  PROBLEMS, BEAUTIFUL!/			Mettaton (call)	New Home	room_undertale_end	
\E0* AND, I'VE ENSTATED&  A NEW POLICY ON&  HUMANITY./			Mettaton (call)	New Home	room_undertale_end	
\E1* IF A HUMAN FALLS DOWN&  HERE.../			Mettaton (call)	New Home	room_undertale_end	
\E6* THEY CAN JOIN MY&  FAN CLUB FOR FREE!/			Mettaton (call)	New Home	room_undertale_end	
\E1* OH, YOU MIGHT BE&  WONDERING ABOUT&  ALPHYS./			Mettaton (call)	New Home	room_undertale_end	
\E0* DON'T WORRY!/			Mettaton (call)	New Home	room_undertale_end	
\E9* I BUILT A STATUE&  OF HER, TOO./			Mettaton (call)	New Home	room_undertale_end	
\E3* REALLY THOUGH.&* I REALIZED I WAS.../			Mettaton (call)	New Home	room_undertale_end	
\E4* NOT THE GREATEST&  TO HER./			Mettaton (call)	New Home	room_undertale_end	
\E1* SO I WENT TO&  APOLOGIZE./			Mettaton (call)	New Home	room_undertale_end	
\E9* AND, TO ASK HER&  TO HELP ME RULE./			Mettaton (call)	New Home	room_undertale_end	
\E3* BUT I COULDN'T FIND&  HER./			Mettaton (call)	New Home	room_undertale_end	
\E4* TRUST ME.&* I LOOKED./			Mettaton (call)	New Home	room_undertale_end	
\E1* ANYWAY./			Mettaton (call)	New Home	room_undertale_end	
\E2* I HOPE YOUR LIFE&  AFTER MEETING ME.../			Mettaton (call)	New Home	room_undertale_end	
\E7* HAS BEEN WORTH LIVING./			Mettaton (call)	New Home	room_undertale_end	
\E6* IT MUST BE A STRUGGLE./			Mettaton (call)	New Home	room_undertale_end	
\E0* PLEASE, THINK OF ME&  ALWAYS./			Mettaton (call)	New Home	room_undertale_end	
\E5* JUST CONSTANTLY.&* THINK OF ME POSING.&* BEAUTIFULLY.../			Mettaton (call)	New Home	room_undertale_end	
\E6* OH YESSSS!!!/			Mettaton (call)	New Home	room_undertale_end	
\E6* OH YESSSS!!!/%%			Mettaton (call)	New Home	room_undertale_end	
\E2* OH^1, MY OTHER AGENT&  WANTS TO TALK./			Mettaton (call)	New Home	room_undertale_end	
HEY!!^1!&IT'S ME^1, PAPYRUS!!/			Papyrus (call)	New Home	room_undertale_end	
\E2IMAGINE ME WEARING&COOL GLASSES^1, AND&A SUIT./			Papyrus (call)	New Home	room_undertale_end	
\E0AND IMAGINE SANS&WEARING SUNGLASSES&BEING A BOUNCER./			Papyrus (call)	New Home	room_undertale_end	
THAT'S OUR LIFE..^1.&IT'S SO COOL!!!/			Papyrus (call)	New Home	room_undertale_end	
THINGS HAVE GOTTEN&WAY BETTER SINCE&YOU CAME HERE!!!/			Papyrus (call)	New Home	room_undertale_end	
\E3WELL^1, MINUS THE&FACT THAT&EVERYTHING SUCKS.../			Papyrus (call)	New Home	room_undertale_end	
\E5FOR ANYONE THAT&DOESNT WORSHIP&METTATON./			Papyrus (call)	New Home	room_undertale_end	
\E3AND MINUS THE FACT&THAT MY FRIEND&UNDYNE IS MISSING./			Papyrus (call)	New Home	room_undertale_end	
WHO KNOWS WHERE&SHE WENT./			Papyrus (call)	New Home	room_undertale_end	
SHE NEVER LIKED&METTATON'S SHOW./			Papyrus (call)	New Home	room_undertale_end	
\E3PEOPLE WHO DON'T&TEND TO KIND OF.../			Papyrus (call)	New Home	room_undertale_end	
\E5DISAPPEAR./			Papyrus (call)	New Home	room_undertale_end	
\E6I MISS HER A&LOT SOMETIMES./			Papyrus (call)	New Home	room_undertale_end	
\E0IF YOU SEE HER^1,&CAN YOU TELL HER&I SAID HI?/			Papyrus (call)	New Home	room_undertale_end	
THANKS^1!&SEE YOU LATER!/%%			Papyrus (call)	New Home	room_undertale_end	
\E3* so.^1.&* it's been a while./			Sans (call)	New Home	room_undertale_end	
* since you left.../			Sans (call)	New Home	room_undertale_end	
\E1* things have gotten&  really strange./			Sans (call)	New Home	room_undertale_end	
\E0* overnight^1, a bunch of&  people mysteriously&  disappeared./			Sans (call)	New Home	room_undertale_end	
\E3* as well as the&  human souls./			Sans (call)	New Home	room_undertale_end	
\E3* people were heart-&  broken. everyone they&  looked up to.../			Sans (call)	New Home	room_undertale_end	
* everything they were&  relying on^1, in one&  night, disappeared./			Sans (call)	New Home	room_undertale_end	
* everyone clamored to&  elect a new ruler as&  fast as possible./			Sans (call)	New Home	room_undertale_end	
\E1* so^1, uh..^1.&* by process of&  elimination.../			Sans (call)	New Home	room_undertale_end	
\E2* papyrus became the&  ruler?/			Sans (call)	New Home	room_undertale_end	
\E1* why doesn't he talk&  to you about this.../			Sans (call)	New Home	room_undertale_end	
\E0HELLO!!^1!&HUMAN!!!/			Papyrus (call)	New Home	room_undertale_end	
\E3IT'S STRANGE./			Papyrus (call)	New Home	room_undertale_end	
\E3ASGORE^1, ALPHYS^1,&METTATON^1, AND&UNDYNE WENT AWAY./			Papyrus (call)	New Home	room_undertale_end	
\E0SANS SAYS THEY&WENT ON VACATION./			Papyrus (call)	New Home	room_undertale_end	
I HOPE THEY'RE&HAVING FUN!!!/			Papyrus (call)	New Home	room_undertale_end	
\E3OH YEAH./			Papyrus (call)	New Home	room_undertale_end	
\E0I'M THE RULER OF&THE UNDERGROUND&NOW!!!/			Papyrus (call)	New Home	room_undertale_end	
EVERYTHING IS&IMPROVING A LOT&HERE./			Papyrus (call)	New Home	room_undertale_end	
PRODUCTIVITY IS UP!/			Papyrus (call)	New Home	room_undertale_end	
BECAUSE I TELL&EVERYONE TO KEEP&WORKING./			Papyrus (call)	New Home	room_undertale_end	
AND^1, NO ONE GOES&HUNGRY!!!/			Papyrus (call)	New Home	room_undertale_end	
BECAUSE I COOK&EVERYONE&SPAGHETTI./			Papyrus (call)	New Home	room_undertale_end	
\E3MEANWHILE^1, MY&BROTHER HANDLES&THE PAPERWORK./			Papyrus (call)	New Home	room_undertale_end	
\E3STRANGELY..^1.&HE SEEMS TO BE&WORKING HARD?/			Papyrus (call)	New Home	room_undertale_end	
\E3THIS SOUNDS MESSED&UP..^1. BUT.../			Papyrus (call)	New Home	room_undertale_end	
\E5I'M PROUD..^1.&OF HIM???/			Papyrus (call)	New Home	room_undertale_end	
OH NO!!!!/			Papyrus (call)	New Home	room_undertale_end	
\E0AS FOR OUR HUMAN&POLICY.../			Papyrus (call)	New Home	room_undertale_end	
\E3WE'VE DECIDED^1, UM./			Papyrus (call)	New Home	room_undertale_end	
SANS^1, WHAT WAS IT?/			Papyrus (call)	New Home	room_undertale_end	
\E2* we can't judge&  humans to be all&  good or all bad./			Sans (call)	New Home	room_undertale_end	
\E0RIGHT^1!&SO IT'S CASE-BY-&CASE!/			Papyrus (call)	New Home	room_undertale_end	
IF THEY'RE EVIL..^1.&WE GIVE THEM&PUZZLES!/			Papyrus (call)	New Home	room_undertale_end	
IF THEY'RE GOOD..^1.&WE ALSO GIVE&THEM PUZZLES!/			Papyrus (call)	New Home	room_undertale_end	
THAT SEEMS TO BE&THE BEST WAY!/			Papyrus (call)	New Home	room_undertale_end	
IS SANS GONE?/			Papyrus (call)	New Home	room_undertale_end	
\E6YOU KNOW.../			Papyrus (call)	New Home	room_undertale_end	
DON'T TELL MY&BROTHER, BUT.../			Papyrus (call)	New Home	room_undertale_end	
DESPITE THE&IMPROVEMENTS&WE'VE MADE.../			Papyrus (call)	New Home	room_undertale_end	
SOMETIMES THIS JOB&IS KIND OF HARD./			Papyrus (call)	New Home	room_undertale_end	
SINCE THE KING&WENT AWAY.../			Papyrus (call)	New Home	room_undertale_end	
LOTS OF PEOPLE&JUST WANT TO&GIVE UP./			Papyrus (call)	New Home	room_undertale_end	
SOMETIMES, EVEN MY&BEST&ENCOURAGEMENT.../			Papyrus (call)	New Home	room_undertale_end	
DOESN'T WORK./			Papyrus (call)	New Home	room_undertale_end	
AND^1, AND^1, I MISS&UNDYNE^1, TOO./			Papyrus (call)	New Home	room_undertale_end	
SHE NEVER ANSWERS&MY PHONE CALLS.../			Papyrus (call)	New Home	room_undertale_end	
\E5SHE MUST BE& HAVING A LOT OF&FUN ON VACATION./			Papyrus (call)	New Home	room_undertale_end	
\E6I JUST WISH SHE'D&SEND A POSTCARD./			Papyrus (call)	New Home	room_undertale_end	
\E5BUT HEY!!!/			Papyrus (call)	New Home	room_undertale_end	
\E4I WON'T GIVE UP!/			Papyrus (call)	New Home	room_undertale_end	
I CAN'T GIVE UP!/			Papyrus (call)	New Home	room_undertale_end	
I HAVE TO MAKE&EVERYONE GIVE UP&GIVING UP!/			Papyrus (call)	New Home	room_undertale_end	
\E0WE'LL GET OUT&OF HERE^1, SLOWLY!!!/			Papyrus (call)	New Home	room_undertale_end	
THEN WE CAN ALL&HANG OUT AGAIN!!!/			Papyrus (call)	New Home	room_undertale_end	
\E0NYEH HEH HEH!!!/%%			Papyrus (call)	New Home	room_undertale_end	
\E3* it's been a while^1,&  huh?/			Sans (call)	New Home	room_undertale_end	
* things have gotten&  pretty bad here./			Sans (call)	New Home	room_undertale_end	
\E0* everyone considered a&  leader disappeared&  overnight./			Sans (call)	New Home	room_undertale_end	
\E1* it's gotten so quiet./			Sans (call)	New Home	room_undertale_end	
\E3* there's a bad feeling&  hanging over&  everyone./			Sans (call)	New Home	room_undertale_end	
* like everyone's just&  going to die here^1,&  trapped in the dark.../			Sans (call)	New Home	room_undertale_end	
\E2* ... i bet you're&  wondering why i'm&  not the ruler./			Sans (call)	New Home	room_undertale_end	
\E1* eh./			Sans (call)	New Home	room_undertale_end	
\E1* i'm not cut out&  for something like&  that./			Sans (call)	New Home	room_undertale_end	
\E2* i like to take it&  easy^1, you know?/			Sans (call)	New Home	room_undertale_end	
\E3* ... that's a joke./			Sans (call)	New Home	room_undertale_end	
\E3* this is what happens&  when people like me&  take it easy./			Sans (call)	New Home	room_undertale_end	
\E4* see ya./%%			Sans (call)	New Home	room_undertale_end	
\E0* hey^1, at least things&  are less crowded./			Sans (call)	New Home	room_undertale_end	
\E1* 'cause of all the&  people you killed./			Sans (call)	New Home	room_undertale_end	
\E2* hope that was a good&  experience for you./			Sans (call)	New Home	room_undertale_end	
\E2* just kidding^1.&* i don't really hope&  that./			Sans (call)	New Home	room_undertale_end	
\E4* go to hell./%%			Sans (call)	New Home	room_undertale_end	
\E1* it seems a number of&  important people&  disappeared overnight./			Sans (call)	New Home	room_undertale_end	
* but no one else was&  harmed./			Sans (call)	New Home	room_undertale_end	
\E0* the people were&  confused^1.&* it was complete bedlam./			Sans (call)	New Home	room_undertale_end	
\E3* somehow^1, at the end of&  the day.../			Sans (call)	New Home	room_undertale_end	
\E1* a small^1, white dog&  became president of&  the underground./			Sans (call)	New Home	room_undertale_end	
\E0* it sleeps on the&  throne and does&  absolutely nothing./			Sans (call)	New Home	room_undertale_end	
\E1* strangely^1, it seems&  this is the best&  life for everyone./			Sans (call)	New Home	room_undertale_end	
\E2* thanks./%%			Sans (call)	New Home	room_undertale_end	
\E1* i'll be honest./			Sans (call)	New Home	room_undertale_end	
\E2* i have no idea what&  happened for you&  to get here./			Sans (call)	New Home	room_undertale_end	
\E1* this is actually some&  sort of error-&  handling message./			Sans (call)	New Home	room_undertale_end	
\E3* so^1, if you're getting&  this ending.../			Sans (call)	New Home	room_undertale_end	
\E1* tell whoever made the&  game^1, okay?/			Sans (call)	New Home	room_undertale_end	
\E2* they'll fix it^1, or&  if it's a novel&  situation.../			Sans (call)	New Home	room_undertale_end	
\E1* they might even add&  another ending to&  the game./			Sans (call)	New Home	room_undertale_end	
\E3* chances are^1, though.../			Sans (call)	New Home	room_undertale_end	
\E4* you're just a dirty&  hacker^1, aren't you?/			Sans (call)	New Home	room_undertale_end	
\E1* yeah^1, get outta here./%%			Sans (call)	New Home	room_undertale_end	
\E1* H..^1. hey./			Alphys (call)	New Home	room_undertale_end	
\E0* So..^1. you're the one&  who killed all my&  friends./			Alphys (call)	New Home	room_undertale_end	
\E1* I just called to tell&  you./			Alphys (call)	New Home	room_undertale_end	
\E0* I hate you./			Alphys (call)	New Home	room_undertale_end	
\E1* Yet..^1. strangely..^1.&* It's because of you^1,&  that.../			Alphys (call)	New Home	room_undertale_end	
\E2* That I was forced to&  become a better&  person./			Alphys (call)	New Home	room_undertale_end	
\E0* When I first saw you&  hurting people.../			Alphys (call)	New Home	room_undertale_end	
* I just sat there^1.&* Watching you./			Alphys (call)	New Home	room_undertale_end	
\E1* I felt so guilty knowing&  I hadn't do anything&  to stop you./			Alphys (call)	New Home	room_undertale_end	
\E3* I felt like all I&  do was.../			Alphys (call)	New Home	room_undertale_end	
\E4* Was hope you would&  destroy me^1, too./			Alphys (call)	New Home	room_undertale_end	
\E1* But when Undyne called^1,&  with crazed desperation&  in her voice.../			Alphys (call)	New Home	room_undertale_end	
\E0* I..^1.&* I realized I had to do&  something./			Alphys (call)	New Home	room_undertale_end	
\E1* Even if it meant&  everybody would.../			Alphys (call)	New Home	room_undertale_end	
* Have to learn the&  truth about me./			Alphys (call)	New Home	room_undertale_end	
\E2* It's strange^1.&* You know?/			Alphys (call)	New Home	room_undertale_end	
\E5* Even after all the&  bad things I did./			Alphys (call)	New Home	room_undertale_end	
* People treated me like&  a hero./			Alphys (call)	New Home	room_undertale_end	
\E2* And then they..^1.&* Asked me to run&  everything./			Alphys (call)	New Home	room_undertale_end	
\E5* So I'm trying my&  best^1, here./			Alphys (call)	New Home	room_undertale_end	
\E2* I think I have some&  good policies^1, but^1,&  y-you know.../			Alphys (call)	New Home	room_undertale_end	
\E1* Talking to people&  still makes me&  nervous./			Alphys (call)	New Home	room_undertale_end	
\E0* I'm no ASGORE^1,&  you know?/			Alphys (call)	New Home	room_undertale_end	
\E4* God..^1.&* I miss everyone./			Alphys (call)	New Home	room_undertale_end	
\E3* Now that they're&  gone^1, it.../			Alphys (call)	New Home	room_undertale_end	
* It feels so clear what&  I should have done./			Alphys (call)	New Home	room_undertale_end	
\E3* What I should have&  said./			Alphys (call)	New Home	room_undertale_end	
\E6* Undyne..^1.&* Asgore.../			Alphys (call)	New Home	room_undertale_end	
* Mettaton.../			Alphys (call)	New Home	room_undertale_end	
\E5* At least Sans is&  still here./			Alphys (call)	New Home	room_undertale_end	
\E4* He's..^1.&* He's a good guy^1.&* And with him around.../			Alphys (call)	New Home	room_undertale_end	
\E4* I.../			Alphys (call)	New Home	room_undertale_end	
\E2* Sigh./			Alphys (call)	New Home	room_undertale_end	
\E1* You know^1.&* Just daydreaming here^1.&* But.../			Alphys (call)	New Home	room_undertale_end	
\E5* I really should have&  killed you when I&  had the chance./%%			Alphys (call)	New Home	room_undertale_end	
fimg						
facetype						
AF						
AK						
NK						
IK						
CK						
CHANGE						
EX						
truename						
\E0Why...?/			Flowey	New Home	room_undertale_end	
Why did you let me go? /			Flowey	New Home	room_undertale_end	
\E7Don't you realize that&being nice.../			Flowey	New Home	room_undertale_end	
\E1... just makes you&get hurt?/			Flowey	New Home	room_undertale_end	
\E0Look at yourself./			Flowey	New Home	room_undertale_end	
\E9You made all these&great friends.../			Flowey	New Home	room_undertale_end	
\E0But now^1, you'll probably&never see them again./			Flowey	New Home	room_undertale_end	
\E9Not to mention how&much they've been&set back by you./			Flowey	New Home	room_undertale_end	
\E6Hurts^1, doesn't it?/			Flowey	New Home	room_undertale_end	
\E7If you had just gone&through without caring&about anyone.../			Flowey	New Home	room_undertale_end	
\E6You wouldn't have to&feel bad now./			Flowey	New Home	room_undertale_end	
\E0So I don't get it./			Flowey	New Home	room_undertale_end	
\E7If you really did&everything the right&way../			Flowey	New Home	room_undertale_end	
\E0Why did things still&end up like this?/			Flowey	New Home	room_undertale_end	
\E6Why...?/			Flowey	New Home	room_undertale_end	
\E5Is life really&that unfair?/			Flowey	New Home	room_undertale_end	
\E9.../			Flowey	New Home	room_undertale_end	
\E0Say./			Flowey	New Home	room_undertale_end	
\E9What if I told you.../			Flowey	New Home	room_undertale_end	
\E0I knew some way&to get you a better&ending?/			Flowey	New Home	room_undertale_end	
\E9You'll have to load&your SAVE file, and.../			Flowey	New Home	room_undertale_end	
\E9You'll have to&start over^1, and.../			Flowey	New Home	room_undertale_end	
\E0Well, in the meantime^1,&why don't you go see&Dr. Alphys?/			Flowey	New Home	room_undertale_end	
